Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,Ht,h,B,b,tnom,tdes,b/tdes,h/tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS3X2X.313,HSS3X2X5/16,F,8.45,2.35,3,2.13,2,1.13,0.3125,0.291,3.87,7.31,2.38,2.11,1.59,1.01,1.24,1.58,1.24,0.725,2.87,2.6
HSS,HSS3X2X.250,HSS3X2X1/4,F,7.11,1.97,3,2.3,2,1.3,0.25,0.233,5.58,9.88,2.13,1.83,1.42,1.04,1.11,1.38,1.11,0.751,2.52,2.23
HSS,HSS3X2X.188,HSS3X2X3/16,F,5.59,1.54,3,2.48,2,1.48,0.1875,0.174,8.49,14.2,1.77,1.48,1.18,1.07,0.932,1.12,0.932,0.778,2.05,1.78
HSS,HSS3X2X.125,HSS3X2X1/8,F,3.9,1.07,3,2.65,2,1.65,0.125,0.116,14.2,22.9,1.3,1.06,0.867,1.1,0.692,0.803,0.692,0.804,1.47,1.25
HSS,HSS3X1-1/2X.250,HSS3X1-1/2X1/4,F,6.26,1.74,3,2.3,1.5,0.801,0.25,0.233,3.44,9.88,1.68,1.51,1.12,0.982,0.543,0.911,0.725,0.559,1.44,1.58
HSS,HSS3X1-1/2X.188,HSS3X1-1/2X3/16,F,4.96,1.37,3,2.48,1.5,0.978,0.1875,0.174,5.62,14.2,1.42,1.24,0.945,1.02,0.467,0.752,0.622,0.584,1.21,1.28
HSS,HSS3X1-1/2X.125,HSS3X1-1/2X1/8,F,3.48,0.956,3,2.65,1.5,1.15,0.125,0.116,9.93,22.9,1.06,0.895,0.706,1.05,0.355,0.55,0.474,0.61,0.886,0.92
HSS,HSS3X1X.188,HSS3X1X3/16,F,4.32,1.19,3,2.48,1,0.478,0.1875,0.174,2.75,14.2,1.07,0.989,0.713,0.947,0.173,0.432,0.345,0.38,0.526,0.792
HSS,HSS3X1X.125,HSS3X1X1/8,F,3.05,0.84,3,2.65,1,0.652,0.125,0.116,5.62,22.9,0.817,0.728,0.545,0.987,0.138,0.325,0.276,0.405,0.408,0.585
HSS,HSS2-1/2X2-1/2X.313,HSS2-1/2X2-1/2X5/16,F,8.45,2.35,2.5,1.63,2.5,1.63,0.3125,0.291,5.59,5.59,1.82,1.88,1.46,0.88,1.82,1.88,1.46,0.88,3.2,2.74
HSS,HSS2-1/2X2-1/2X.250,HSS2-1/2X2-1/2X1/4,F,7.11,1.97,2.5,1.8,2.5,1.8,0.25,0.233,7.73,7.73,1.63,1.63,1.3,0.908,1.63,1.63,1.3,0.908,2.79,2.35
HSS,HSS2-1/2X2-1/2X.188,HSS2-1/2X2-1/2X3/16,F,5.59,1.54,2.5,1.98,2.5,1.98,0.1875,0.174,11.4,11.4,1.35,1.32,1.08,0.937,1.35,1.32,1.08,0.937,2.25,1.86
HSS,HSS2-1/2X2-1/2X.125,HSS2-1/2X2-1/2X1/8,F,3.9,1.07,2.5,2.15,2.5,2.15,0.125,0.116,18.6,18.6,0.998,0.947,0.799,0.965,0.998,0.947,0.799,0.965,1.61,1.31
HSS,HSS2-1/2X2X.250,HSS2-1/2X2X1/4,F,6.26,1.74,2.5,1.8,2,1.3,0.25,0.233,5.58,7.73,1.33,1.37,1.06,0.874,0.93,1.17,0.93,0.731,1.9,1.82
HSS,HSS2-1/2X2X.188,HSS2-1/2X2X3/16,F,4.96,1.37,2.5,1.98,2,1.48,0.1875,0.174,8.49,11.4,1.12,1.12,0.894,0.904,0.786,0.956,0.786,0.758,1.55,1.46
HSS,HSS2-1/2X2X.125,HSS2-1/2X2X1/8,F,3.48,0.956,2.5,2.15,2,1.65,0.125,0.116,14.2,18.6,0.833,0.809,0.667,0.934,0.589,0.694,0.589,0.785,1.12,1.04
HSS,HSS2-1/2X1-1/2X.250,HSS2-1/2X1-1/2X1/4,F,5.41,1.51,2.5,1.8,1.5,0.801,0.25,0.233,3.44,7.73,1.03,1.11,0.822,0.826,0.449,0.764,0.599,0.546,1.1,1.29
HSS,HSS2-1/2X1-1/2X.188,HSS2-1/2X1-1/2X3/16,F,4.32,1.19,2.5,1.98,1.5,0.978,0.1875,0.174,5.62,11.4,0.882,0.915,0.705,0.86,0.39,0.636,0.52,0.572,0.929,1.05
HSS,HSS2-1/2X1-1/2X.125,HSS2-1/2X1-1/2X1/8,F,3.05,0.84,2.5,2.15,1.5,1.15,0.125,0.116,9.93,18.6,0.668,0.671,0.535,0.892,0.3,0.469,0.399,0.597,0.687,0.759
HSS,HSS2-1/2X1X.188,HSS2-1/2X1X3/16,F,3.68,1.02,2.5,1.98,1,0.478,0.1875,0.174,2.75,11.4,0.646,0.713,0.517,0.796,0.143,0.36,0.285,0.374,0.412,0.648
HSS,HSS2-1/2X1X.125,HSS2-1/2X1X1/8,F,2.63,0.724,2.5,2.15,1,0.652,0.125,0.116,5.62,18.6,0.503,0.532,0.403,0.834,0.115,0.274,0.23,0.399,0.322,0.483
HSS,HSS2-1/4X2-1/4X.250,HSS2-1/4X2-1/4X1/4,F,6.26,1.74,2.25,1.55,2.25,1.55,0.25,0.233,6.66,6.66,1.13,1.28,1.01,0.806,1.13,1.28,1.01,0.806,1.96,1.85
HSS,HSS2-1/4X2-1/4X.188,HSS2-1/4X2-1/4X3/16,F,4.96,1.37,2.25,1.73,2.25,1.73,0.1875,0.174,9.93,9.93,0.953,1.04,0.847,0.835,0.953,1.04,0.847,0.835,1.6,1.48
HSS,HSS2-1/4X2-1/4X.125,HSS2-1/4X2-1/4X1/8,F,3.48,0.956,2.25,1.9,2.25,1.9,0.125,0.116,16.4,16.4,0.712,0.755,0.633,0.863,0.712,0.755,0.633,0.863,1.15,1.05
HSS,HSS2-1/4X2X.188,HSS2-1/4X2X3/16,F,4.64,1.28,2.25,1.73,2,1.48,0.1875,0.174,8.49,9.93,0.859,0.952,0.764,0.819,0.713,0.877,0.713,0.747,1.32,1.3
HSS,HSS2-1/4X2X.125,HSS2-1/4X2X1/8,F,3.27,0.898,2.25,1.9,2,1.65,0.125,0.116,14.2,16.4,0.646,0.693,0.574,0.848,0.538,0.639,0.538,0.774,0.957,0.927
HSS,HSS2X2X.250,HSS2X2X1/4,F,5.41,1.51,2,1.3,2,1.3,0.25,0.233,5.58,5.58,0.747,0.964,0.747,0.704,0.747,0.964,0.747,0.704,1.31,1.41
HSS,HSS2X2X.188,HSS2X2X3/16,F,4.32,1.19,2,1.48,2,1.48,0.1875,0.174,8.49,8.49,0.641,0.797,0.641,0.733,0.641,0.797,0.641,0.733,1.09,1.14
HSS,HSS2X2X.125,HSS2X2X1/8,F,3.05,0.84,2,1.65,2,1.65,0.125,0.116,14.2,14.2,0.486,0.584,0.486,0.761,0.486,0.584,0.486,0.761,0.796,0.817
HSS,HSS2X1-1/2X.188,HSS2X1-1/2X3/16,F,3.68,1.02,2,1.48,1.5,0.978,0.1875,0.174,5.62,8.49,0.495,0.639,0.495,0.697,0.313,0.521,0.417,0.554,0.664,0.822
HSS,HSS2X1-1/2X.125,HSS2X1-1/2X1/8,F,2.63,0.724,2,1.65,1.5,1.15,0.125,0.116,9.93,14.2,0.383,0.475,0.383,0.728,0.244,0.389,0.325,0.581,0.496,0.599
HSS,HSS2X1X.188,HSS2X1X3/16,F,3.04,0.845,2,1.48,1,0.478,0.1875,0.174,2.75,8.49,0.35,0.48,0.35,0.643,0.112,0.288,0.225,0.365,0.301,0.505
HSS,HSS2X1X.125,HSS2X1X1/8,F,2.2,0.608,2,1.65,1,0.652,0.125,0.116,5.62,14.2,0.28,0.366,0.28,0.679,0.0922,0.223,0.184,0.39,0.238,0.38
