Name,Type,d,b,t,W,A,Ix,Sx,Zx,rx,Iy,Sy,Zy,ry,J
RT 2 x 1 1/4  x 1/8,Aluminum,2,1.25,0.125,0.882,0.750,0.387,0.387,0.484,0.718,0.180,0.288,0.344,0.489,0.371
RT 2 x 1 1/2 x 1/8,Aluminum,2,1.5,0.125,0.956,0.813,0.442,0.442,0.543,0.737,0.278,0.370,0.441,0.585,0.511
RT 2 x 1 1/2 x 1/4,Aluminum,2,1.5,0.250,1.76,1.50,0.719,0.719,0.938,0.692,0.438,0.583,0.750,0.540,0.798
RT 2 x 1 3/4 x 1/8,Aluminum,2,1.75,0.125,1.03,0.875,0.497,0.497,0.602,0.753,0.401,0.458,0.547,0.677,0.663
RT 2 1/4 x 1 3/4 x 1/8,Aluminum,2.25,1.75,0.125,1.10,0.938,0.661,0.588,0.715,0.840,0.442,0.506,0.598,0.687,0.795
RT 2 1/2 x 1 x 1/8,Aluminum,2.5,1,0.125,0.956,0.813,0.590,0.472,0.613,0.852,0.129,0.258,0.309,0.399,0.332
RT 2 1/2 x 1 1/4 x 1/8,Aluminum,2.5,1.25,0.125,1.03,0.875,0.678,0.543,0.688,0.881,0.219,0.351,0.414,0.501,0.510
RT 2 1/2 x 1 1/2 x 1/8,Aluminum,2.5,1.5,0.125,1.10,0.938,0.767,0.613,0.762,0.904,0.337,0.449,0.527,0.599,0.711
RT 2 1/2 x 1 3/4 x 1/8,Aluminum,2.5,1.75,0.125,1.18,1.00,0.855,0.684,0.836,0.925,0.484,0.553,0.648,0.696,0.931
RT 2 3/4 x 1 3/4 x 1/8,Aluminum,2.75,1.75,0.125,1.25,1.06,1.08,0.785,0.965,1.01,0.525,0.6,0.699,0.703,1.07
RT 3 x 1 x 1/8,Aluminum,3,1,0.125,1.10,0.938,0.950,0.633,0.832,1.01,0.153,0.307,0.363,0.404,0.422
RT 3 x 1 1/4 x 1/8,Aluminum,3,1.25,0.125,1.18,1.00,1.08,0.720,0.922,1.04,0.259,0.415,0.484,0.509,0.654
RT 3 x 1 1/2 x 1/8,Aluminum,3,1.5,0.125,1.25,1.06,1.21,0.806,1.01,1.07,0.396,0.528,0.613,0.611,0.919
RT 3 x 1 1/2 x 3/16,Aluminum,3,1.5,0.188,1.82,1.55,1.68,1.12,1.44,1.04,0.533,0.711,0.859,0.586,1.24
RT 3 x 1 3/4 x 1/8,Aluminum,3,1.75,0.125,1.32,1.13,1.34,0.892,1.10,1.09,0.566,0.647,0.750,0.710,1.21
RT 3 x 2 x 1 /8,Aluminum,3,2,0.125,1.40,1.19,1.47,0.978,1.19,1.11,0.772,0.77,0.895,0.806,1.53
RT 3 x 2 x 1/4,Aluminum,3,2,0.250,2.65,2.25,2.55,1.70,2.16,1.06,1.30,1.30,1.59,0.759,2.57
RT 3 1/2 x 1 3/4 x 1/8,Aluminum,3.5,1.75,0.125,1.47,1.25,1.96,1.12,1.40,1.25,0.649,0.742,0.852,0.721,1.50
RT 4 x 1 x 1/8,Aluminum,4,1,0.125,1.40,1.19,2.04,1.02,1.36,1.31,0.201,0.403,0.473,0.412,0.605
RT 4 x 1 1/2 x 1/8 ,Aluminum,4,1.5,0.125,1.54,1.31,2.51,1.25,1.61,1.38,0.515,0.686,0.785,0.626,1.35
RT 4 x 1 3/4 x 1/8 ,Aluminum,4,1.75,0.125,1.62,1.38,2.74,1.37,1.73,1.41,0.732,0.836,0.953,0.730,1.80
RT 4 x 2 x 1/8,Aluminum,4,2,0.125,1.69,1.44,2.98,1.49,1.85,1.44,0.992,0.992,1.13,0.831,2.30
RT 4 x 2 x 3/16,Aluminum,4,2,0.188,2.49,2.11,4.23,2.11,2.67,1.41,1.37,1.37,1.61,0.806,3.19
RT 4 x 2 x 1/4,Aluminum,4,2,0.250,3.23,2.75,5.31,2.65,3.41,1.39,1.68,1.68,2.03,0.782,3.92
RT 4 x 2 1/2 x 1/8 ,Aluminum,4,2.5,0.125,1.84,1.56,3.45,1.72,2.09,1.48,1.65,1.32,1.50,1.03,3.39
RT 4 x 3 x 1/8,Aluminum,4,3,0.125,1.98,1.69,3.92,1.96,2.33,1.52,2.50,1.67,1.91,1.22,4.60
RT 4 x 3 x 3/16,Aluminum,4,3,0.188,2.93,2.49,5.59,2.80,3.38,1.50,3.54,2.36,2.76,1.19,6.52
RT 4 x 3 x 1/4,Aluminum,4,3,0.250,3.82,3.25,7.07,3.53,4.34,1.47,4.44,2.96,3.53,1.17,8.18
RT 4 x 3 x 3/8,Aluminum,4,3,0.375,5.51,4.69,9.56,4.78,6.06,1.43,5.92,3.94,4.89,1.12,10.9
RT 4 x 3 x 1/2,Aluminum,4,3,0.500,7.06,6.00,11.5,5.75,7.50,1.38,7.00,4.67,6.00,1.08,12.8
RT 4 1/2 x 1 3/4 x 1/8,Aluminum,4.5,1.75,0.125,1.76,1.50,3.69,1.64,2.09,1.57,0.814,0.931,1.05,0.737,2.11
RT 5 x 1 3/4 x 1/8,Aluminum,5,1.75,0.125,1.91,1.63,4.83,1.93,2.48,1.72,0.897,1.03,1.16,0.743,2.41
RT 5 x 1 3/4 x 3/  16,Aluminum,5,1.75,0.188,2.82,2.40,6.91,2.76,3.59,1.70,1.23,1.41,1.65,0.717,3.33
RT 5 x 2 x 1/8,Aluminum,5,2,0.125,1.98,1.69,5.20,2.08,2.63,1.76,1.21,1.21,1.36,0.847,3.09
RT 5 x 2 x 3/16,Aluminum,5,2,0.188,2.93,2.49,7.45,2.98,3.82,1.73,1.68,1.68,1.95,0.822,4.32
RT 5 x 2 x 1/4,Aluminum,5,2,0.250,3.82,3.25,9.44,3.78,4.91,1.70,2.07,2.07,2.47,0.798,5.32
RT 5 x 2 1/2 x 1/8 ,Aluminum,5,2.5,0.125,2.13,1.81,5.95,2.38,2.93,1.81,2.00,1.60,1.80,1.05,4.62
RT 5 x 3 x 1/8,Aluminum,5,3,0.125,2.28,1.94,6.69,2.68,3.24,1.86,3.02,2.01,2.27,1.25,6.34
RT 5 x 3 x 3/16,Aluminum,5,3,0.188,3.37,2.87,9.63,3.85,4.72,1.83,4.29,2.86,3.29,1.22,9.03
RT 5 x 3 x 1/4,Aluminum,5,3,0.250,4.41,3.75,12.3,4.91,6.09,1.81,5.39,3.59,4.22,1.20,11.4
RT 5 x 4 x 1/4,Aluminum,5,4,0.250,5.00,4.25,15.1,6.04,7.28,1.88,10.6,5.29,6.22,1.58,18.7
RT 6 x 1 1/2 x 1/8,Aluminum,6,1.5,0.125,2.13,1.81,7.20,2.40,3.17,1.99,0.752,1.00,1.13,0.644,2.25
RT 6 x 1 3/4 x 1/8 ,Aluminum,6,1.75,0.125,2.21,1.88,7.74,2.58,3.35,2.03,1.06,1.21,1.36,0.753,3.04
RT 6 x 2 x 1/8,Aluminum,6,2,0.125,2.28,1.94,8.28,2.76,3.54,2.07,1.43,1.43,1.60,0.860,3.91
RT 6 x 2 x 3/16,Aluminum,6,2,0.188,3.37,2.87,11.9,3.98,5.16,2.04,1.99,1.99,2.29,0.834,5.47
RT 6 x 2 x 1/4,Aluminum,6,2,0.250,4.41,3.75,15.2,5.07,6.66,2.01,2.45,2.45,2.91,0.809,6.75
RT 6 x 3 x 1/8,Aluminum,6,3,0.125,2.57,2.19,10.4,3.48,4.27,2.18,3.53,2.36,2.63,1.27,8.15
RT 6 x 3 x 3/16,Aluminum,6,3,0.188,3.81,3.24,15.1,5.03,6.25,2.16,5.03,3.35,3.82,1.25,11.6
RT 6 x 4 x 1/8,Aluminum,6,4,0.125,2.87,2.44,12.6,4.20,5.00,2.27,6.73,3.37,3.79,1.66,13.3
RT 6 x 4 x 3/16,Aluminum,6,4,0.188,4.26,3.62,18.3,6.09,7.34,2.25,9.69,4.85,5.53,1.64,19.2
RT 6 x 4 x 1/4,Aluminum,6,4,0.250,5.59,4.75,23.5,7.82,9.53,2.22,12.3,6.17,7.16,1.61,24.5
RT 6 x 4 x 1/2,Aluminum,6,4,0.500,10.6,9.00,40.8,13.6,17.3,2.13,20.8,10.4,12.8,1.52,41.2
RT 8 x 2 x 1/8,Aluminum,8,2,0.125,2.87,2.44,17.5,4.36,5.72,2.68,1.87,1.87,2.07,0.876,5.59
RT 8 x 3 x 1/4,Aluminum,8,3,0.250,6.17,5.25,40.1,10.0,12.8,2.76,8.23,5.49,6.28,1.25,21.6
RT 8 x 4 x 3/16,Aluminum,8,4,0.188,5.14,4.37,36.8,9.21,11.3,2.90,12.4,6.21,6.97,1.69,28.7
RT 8 x 4 x 1/4,Aluminum,8,4,0.250,6.76,5.75,47.6,11.9,14.8,2.88,15.9,7.93,9.03,1.66,36.7
RT 8 x 4 x 3/8,Aluminum,8,4,0.375,9.92,8.44,67.5,16.9,21.3,2.83,21.9,11.0,12.9,1.61,50.9
RT 8 x 4 x 1/2,Aluminum,8,4,0.500,12.9,11.0,84.9,21.2,27.3,2.78,26.9,13.5,16.3,1.56,62.6
RT 8 x 5 x 3/8,Aluminum,8,5,0.375,10.8,9.19,78.4,19.6,24.2,2.92,37.0,14.8,17.3,2.01,76.1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
